Case Number,Date,Year,Type,Country,Area,Activity,Age,Fatal (Y/N),Sex,Month
2010.11.19,19-Nov-2010,2010,Provoked,USA,Palmyra Atoll,Snorkeling,33,N,M,Nov
2010.11.15,15-Nov-2010,2010,Unprovoked,DOMINICAN REPUBLIC,unknown,Diving,21,Y,M,Nov
2010.10.30,30-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,20,N,F,Oct
2010.10.23.b,23-Oct-2010,2010,Unprovoked,USA,Maine,Scuba diving,30,N,M,Oct
2010.10.23.a,23-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Kite Surfing,14,N,M,Oct
2010.10.22,22-Oct-2010,2010,Unprovoked,USA,California,Body boarding,19,Y,M,Oct
2010.10.09,09-Oct-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,22,N,M,Oct
2010.09.27,27-Sep-2010,2010,Unprovoked,USA,Oregon,Surfing,29,N,M,Sep
2010.09.24,24-Sep-2010,2010,Unprovoked,USA,Virginia,Surfing,18,N,M,Sep
2010.09.21,21-Sep-2010,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,29,Y,M,Sep
2010.09.13, 13-Sep-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,15,N,M,Sep
2010.09.07,07-Sep-2010,2010,Unprovoked,USA,Florida,Swimming,27,N,M,Sep
2010.09.03.b,03-Sep-2010,2010,Unprovoked,USA,Florida,Surfing,24,N,M,Sep
2010.09.03.a,03-Sep-2010,2010,Unprovoked,USA,Florida,Surfing,24,N,M,Sep
2010.08.18,18-Aug-2010,2010,Unprovoked,USA,Florida,Boogie Boarding,10,N,M,Aug
2010.08.17,17-Aug-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,31,Y,M,Aug
2010.08.14,14-Aug-2010,2010,Boating,USA,California,Kayak Fishing,45,N,M,Aug
2010.08.10,10-Aug-2010,2010,Unprovoked,SOUTH KOREA,Jeju Province,Swimming,16,N,F,Aug
2010.08.08,08-Aug-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,47,N,M,Aug
2010.08.07.b,07-Aug-2010,2010,Unprovoked,USA,North Carolina,Surfing,25,N,M,Aug
2010.08.07.a,07-Aug-2010,2010,Unprovoked,MALTA,unknown,Windsurfing,35,N,M,Aug
2010.08.02.a,02-Aug-2010,2010,Unprovoked,USA,Florida,Standing,37,N,F,Aug
2010.07.25,25-Jul-2010,2010,Unprovoked,USA,South Carolina,Standing,16,N,M,Jul
2010.07.23,23-Jul-2010,2010,Unprovoked,USA,Florida,Surfing,20,N,M,Jul
2010.07.19,19-Jul-2010,2010,Unprovoked,USA,South Carolina,Swimming,10,N,M,Jul
2010.07.17.b,17-Jul-2010,2010,Unprovoked,USA,North Carolina,Swimming,13,N,F,Jul
2010.07.17.a,17-Jul-2010,2010,Unprovoked,USA,Florida,Surfing,55,N,M,Jul
2010.07.04,04-Jul-2010,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,21,N,F,Jul
2010.07.03,03-Jul-2010,2010,Provoked,USA,New York,Fishing,20,N,M,Jul
2010.07.02.b,02-Jul-2010,2010,Unprovoked,USA,California,Surfing,19,N,M,Jul
2010.06.27,27-Jun-2010,2010,Unprovoked,USA,Texas,Surfing,20,N,M,Jun
2010.06.25.a,25-Jun-2010,2010,Unprovoked,USA,North Carolina,Swimming,13,N,F,Jun
2010.06.15,15-Jun-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,17,N,M,Jun
2010.06.10,10-Jun-2010,2010,Unprovoked,USA,Florida,Boogie Boarding,18,N,F,Jun
2010.06.06,06-Jun-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,40,N,M,Jun
2010.05.30,30-May-2010,2010,Provoked,USA,Florida,Fishing,49,N,M,May
2010.05.18.b,18-May-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,60,N,F,May
2010.05.03,03-May-2010,2010,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,59,N,M,May
2010.05.01,01-May-2010,2010,Unprovoked,USA,Florida,Wading,10,N,F,May
2010.04.19,19-Apr-2010,2010,Unprovoked,USA,Hawaii,Surfing,68,N,M,Apr
2010.04.13,13-Apr-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,35,N,M,Apr
2010.03.27, 27-Mar-2010,2010,Unprovoked,REUNION,Saint-Benoit,Surfing,34,N,M,Mar
2010.02.15,15-Feb-2010,2010,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,19,Y,M,Feb
2010.02.13,13-Feb-2010,2010,Unprovoked,AUSTRALIA,Queensland,Snorkeling,60,N,F,Feb
2010.02.11,11-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,46,N,M,Feb
2010.02.06.b,06-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Body boarding,18,N,M,Feb
2010.02.01,01-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Boogie Boarding,14,N,F,Feb
2010.01.30,31-Jan-2010,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,29,N,M,Jan
2010.01.22.b,22-Jan-2010,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,54,N,M,Jan
2010.01.12,12-Jan-2010,2010,Unprovoked,SOUTH AFRICA,Western Province,Standing,37,Y,M,Jan
2010.01.06,06-Jan-2010,2010,Unprovoked,USA,Florida,Spearfishing,32,N,M,Jan
2009.12.29,29-Dec-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,20,N,M,Dec
2009.12.26,26-Dec-2009,2009,Provoked,AUSTRALIA,New South Wales,Swimming,55,N,M,Dec
2009.12.22,22-Dec-2009,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,27,N,M,Dec
2009.12.20.a,20-Dec-2009,2009,Unprovoked,AUSTRALIA,Queensland,Spearfishing,18,N,M,Dec
2009.12.13,13-Dec-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,39,N,M,Dec
2009.12.06,05-Dec-2009,2009,Provoked,USA,New Jersey,Diving,58,N,M,Dec
2009.11.24,24-Nov-2009,2009,Unprovoked,USA,Florida,Wading,10,N,M,Nov
2009.11.16.b,16-Nov-2009,2009,Unprovoked,USA,California,Fishing,31,N,M,Nov
2009.11.16.a,16-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,22,N,M,Nov
2009.11.13,13-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,27,N,F,Nov
2009.11.11,11-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,18,N,M,Nov
2009.11.08,08-Nov-2009,2009,Unprovoked,AUSTRALIA,South Australia,Kayaking,25,N,M,Nov
2009.11.05,05-Nov-2009,2009,Unprovoked,USA,California,Surfing,21,N,M,Nov
2009.10.30,30-Oct-2009,2009,Boating,AUSTRALIA,Victoria,Kayaking,27,N,M,Oct
2009.10.19,19-Oct-2009,2009,Unprovoked,USA,Hawaii,Surfing,54,N,M,Oct
2009.10.18,18-Oct-2009,2009,Unprovoked,PANAMA,Bocas,Wading,10,N,F,Oct
2009.10.17,17-Oct-2009,2009,Provoked,SCOTLAND,Fife,Diving,23,N,M,Oct
2009.10.14.R,Reported 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Western Australia,Diving,23,N,M,Oct
2009.10.02,02-Oct-2009,2009,Provoked,UNITED KINGDOM,Devon,Fishing,39,N,M,Oct
2009.08.29,29-Aug-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,25,Y,M,Aug
2009.08.25,25-Aug-2009,2009,Unprovoked,USA,California,Swimming,22,N,F,Aug
2009.08.10,10-Aug-2009,2009,Unprovoked,USA,Florida,Swimming,26,N,M,Aug
2009.07.31,31-July-2009,2009,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,14,N,M,Jul
2009.07.30,30-Jul-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,14,N,M,Jul
2009.07.29,29-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,41,N,F,Jul
2009.07.24.b,24-Jul-2009,2009,Unprovoked,USA,Texas,Wading,14,N,F,Jul
2009.07.22.b,22-Jul-2009,2009,Unprovoked,USA,North Carolina,Swimming,26,N,F,Jul
2009.07.22.a,22-Jul-2009,2009,Unprovoked,USA,Florida,Swimming,19,N,F,Jul
2009.07.18,18-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,57,N,M,Jul
2009.07.07,07-Jul-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,37,N,M,Jul
2009.07.05,05-Jul-2009,2009,Unprovoked,USA,Florida,Boogie Boarding,12,N,F,Jul
2009.07.04,04-Jul-2009,2009,Provoked,USA,Florida,Swimming,43,N,F,Jul
2009.06.27,27-Jun-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,52,N,M,Jun
2009.06.01,01-Jun-2009,2009,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,50,Y,F,Jun
2009.05.31,31-May-2009,2009,Provoked,TAIWAN,Off Green Island,Fishing,46,N,M,May
2009.05.17,17-May-2009,2009,Unprovoked,USA,Florida,Surfing,31,N,M,May
2009.05.16.b,16-May-2009,2009,Unprovoked,USA,Florida,Surfing,49,N,M,May
2009.05.16.a,16-May-2009,2009,Unprovoked,USA,Florida,Surfing,55,N,M,May
2009.05.12,12-May-2009,2009,Provoked,GUAM,North Region,Spearfishing,27,N,M,May
2009.05.06,06-Mar-2009,2009,Provoked,BAHAMAS,Exuma Islands,Spearfishing,48,N,M,Mar
2009.04.21,21-Apr-2009,2009,Unprovoked,USA,Florida,Surfing,20,N,M,Apr
2009.04.20,20-Apr-2009,2009,Unprovoked,PHILIPPINES,Batangas province,Swimming,23,N,M,Apr
2009.04.19,19-Apr-2009,2009,Unprovoked,USA,Florida,Surfing,52,N,M,Apr
2009.04.17.,17-Apr-2009,2009,Unprovoked,USA,Florida,Surfing,31,N,M,Apr
2009.04.12,12-Apr-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,40,N,M,Apr
2009.04.03,03-Apr-2009,2009,Unprovoked,USA,Florida,Wading,15,N,M,Apr
2009.03.27,27-Mar-2009,2009,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,59,N,M,Mar
2009.03.21,21-Mar-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,16,Y,M,Mar
2009.03.20,20-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,17,N,M,Mar
2009.03.18.a,18-Mar-2009,2009,Unprovoked,USA,Florida,Surfing,17,N,F,Mar
2009.03.17,17-Mar-2009,2009,Unprovoked,USA,Hawaii,Swimming,61,N,M,Mar
2009.03.16.R,Reported 16-Mar-2009,2009,Provoked,AUSTRALIA,Western Australia,Wading,21,N,M,Mar
2009.03.06,06-Mar-2009,2009,Unprovoked,NEW CALEDONIA,South Province,Surfing,19,Y,M,Mar
2009.03.02,02-Mar-2009,2009,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,40,N,M,Mar
2009.03.01.a,01-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,15,N,M,Mar
2009.02.12,12-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,33,N,M,Feb
2009.02.07.b,07-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,41,N,M,Feb
2009.01.27.R,Reported 27-Jan-2009,2009,Provoked,AZORES,unknown,Fishing,49,N,M,Jan
2009.01.25,25-Jan-2009,2009,Unprovoked,CUBA,Guantanamo Province,Spearfishing,15,N,M,Jan
2009.01.24.b,24-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Swimming,19,N,M,Jan
2009.01.24.a,24-Jan-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,25,Y,M,Jan
2009.01.12,12-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,24,N,M,Jan
2009.01.11.b,11-Jan-2009,2009,Unprovoked,AUSTRALIA,Tasmania,Surfing,13,N,F,Jan
2009.01.11.a,11-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,31,N,M,Jan
2009.01.10.a,10-Jan-2009,2009,Unprovoked,ECUADOR,Galapagos Islands,Surfing,22,N,M,Jan
2009.01.06,06-Jan-2009,2009,Unprovoked,NEW ZEALAND,North Island,Swimming,49,N,M,Jan
2008.12.27.c,27-Dec-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,10,N,M,Dec
2008.12.27.b,27-Dec-2008,2008,Boating,AUSTRALIA,New South Wales,Kayaking,29,N,M,Dec
2008.12.27.a,27-Dec-2008,2008,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,51,Y,M,Dec
2008.12.10,10-Dec-2008,2008,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,15,N,M,Dec
2008.11.06,06-Nov-2008,2008,Unprovoked,PHILIPPINES,Luzon,Fishing,39,Y,M,Nov
2008.10.22,22-Oct-2008,2008,Provoked,AUSTRALIA,New South Wales,Scuba diving,34,N,M,Oct
2008.10.21,21-Oct-2008,2008,Unprovoked,NEW CALEDONIA,unknown,Spearfishing,24,N,M,Oct
2008.10.12,12-Oct-2008,2008,Provoked,AUSTRALIA,Northern Territory,Fishing,50,N,M,Oct
2008.10.11,11-Oct-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,15,N,M,Oct
2008.10.08,08-Oct-2008,2008,Unprovoked,USA,Florida,Fishing,11,N,M,Oct
2008.10.06,06-Oct-2008,2008,Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,43,N,M,Oct
2008.09.28.b,28-Sep-2008,2008,Unprovoked,USA,Florida,Surfing,44,N,M,Sep
2008.09.28.a,28-Sep-2008,2008,Unprovoked,USA,Florida,Surfing,40,N,M,Sep
2008.09.15,15-Sep-2008,2008,Provoked,AUSTRALIA,Northern Territory,Swimming,43,N,M,Sep
2008.09.14,14-Sep-2008,2008,Unprovoked,USA,Florida,Swimming,32,N,M,Sep
2008.09.09,09-Sep-2008,2008,Unprovoked,USA,Hawaii,Surfing,40,N,M,Sep
2008.09.07,07-Sep-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,51,N,M,Sep
2008.09.06.b,06-Sep-2008,2008,Unprovoked,USA,Florida,Surfing,43,N,M,Sep
2008.09.06.a,06-Sep-2008,2008,Unprovoked,USA,Florida,Surfing,15,N,M,Sep
2008.09.01,01-Sep-2008,2008,Unprovoked,USA,Florida,Surfing,52,N,M,Sep
2008.08.30.c,30-Aug-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,29,N,M,Aug
2008.08.30.a,30-Aug-2008,2008,Provoked,ENGLAND,North Devon,Fishing,52,N,M,Aug
2008.08.28,28-Aug-2008,2008,Unprovoked,USA,Florida,Surfing,19,N,M,Aug
2008.08.27,27-Aug-2008,2008,Unprovoked,USA,Florida,Surfing,26,N,M,Aug
2008.08.20,20-Aug-2008,2008,Unprovoked,USA,Florida,Swimming,47,N,M,Aug
2008.08.16,16-Aug-2008,2008,Unprovoked,USA,US Virgin Islands,Treading water,38,N,F,Aug
2008.08.12,12-Aug-2008,2008,Unprovoked,USA,Florida,Wading,13,N,F,Aug
2008.07.30.R,30-Jul-2008,2008,Unprovoked,AUSTRALIA,Victoria,Surfing,31,N,M,Jul
2008.07.26.b,26-Jul-2008,2008,Unprovoked,MEXICO,Cabo San Lucas,Swimming,33,N,M,Jul
2008.07.25.b,25-Jul-2008,2008,Unprovoked,USA,Florida,Surfing,17,N,M,Jul
2008.07.25.a,25-Jul-2008,2008,Unprovoked,USA,Hawaii,Snorkeling,44,N,F,Jul
2008.07.23,23-Jul-2008,2008,Provoked,USA,Florida,Surfing,15,N,M,Jul
2008.07.19,19-Jul-2008,2008,Unprovoked,USA,Florida,Wading,16,N,M,Jul
2008.07.11,11-Jul-2008,2008,Unprovoked,USA,South Carolina,Surfing,24,N,M,Jul
2008.07.09,09-Jul-2008,2008,Unprovoked,USA,North Carolina,Swimming,14,N,F,Jul
2008.06.28.b,28-Jun-2008,2008,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,42,N,M,Jun
2008.06.28.a,28-Jun-2008,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,46,N,M,Jun
2008.06.26.b,26-Jun-2008,2008,Unprovoked,USA,Florida,Surfing,29,N,M,Jun
2008.06.26.a,26-Jun-2008,2008,Unprovoked,USA,South Carolina,Swimming,37,N,M,Jun
2008.06.21,21-Jun-2008,2008,Boating,USA,California,Kayaking,40,N,F,Jun
2008.06.20,20-Jun-2008,2008,Unprovoked,USA,Florida,Wading,35,N,F,Jun
2008.06.11,11-Jun-2008,2008,Unprovoked,BRAZIL,Pernambuco,Surfing,14,N,M,Jun
2008.06.07,07-Jun-2008,2008,Unprovoked,USA,Florida,Body surfing,40,N,M,Jun
2008.06.01.b,01-Jun-2008,2008,Unprovoked,USA,South Carolina,Body surfing,15,N,F,Jun
2008.06.01.a,01-Jun-2008,2008,Unprovoked,BRAZIL,Pernambuco,Swimming,14,N,M,Jun
2008.05.24.a,24-May-2008,2008,Unprovoked,MEXICO,Guerro,Surfing,49,N,M,May
2008.05.23,23-May-2008,2008,Unprovoked,MEXICO,Guerro,Surfing,21,Y,M,May
2008.05.10,10-May-2008,2008,Unprovoked,AUSTRALIA,Western Australia,Swimming,37,N,M,May
2008.05.07.b,07-May-2008,2008,Unprovoked,NEW CALEDONIA,North Province,Fishing,40,N,M,May
2008.05.01,01-May-2008,2008,Provoked,SOUTH AFRICA,unknown,Fishing,24,N,M,May
2008.04.28.b,28-Apr-2008,2008,Unprovoked,MEXICO,Guerro,Surfing,24,Y,M,Apr
2008.04.28.a,28-Apr-2008,2008,Unprovoked,USA,Florida,Surfing,18,N,M,Apr
2008.04.27,27-Apr-2008,2008,Unprovoked,USA,Florida,Surfing,24,N,M,Apr
2008.04.26.b,26-Apr-2008,2008,Unprovoked,NEW CALEDONIA,North Province,Swimming,32,N,M,Apr
2008.04.26.a,26-Apr-2008,2008,Provoked,USA,Florida,Surfing,21,N,M,Apr
2008.04.25,25-Apr-2008,2008,Unprovoked,USA,California,Swimming,66,Y,M,Apr
2008.04.20.b,20-Apr-2008,2008,Unprovoked,USA,Florida,Surfing,14,N,M,Apr
2008.04.15,15-Apr-2008,2008,Unprovoked,USA,Florida,Surfing,30,N,M,Apr
2008.03.25,25-Mar-2008,2008,Unprovoked,USA,Florida,Wading,15,N,M,Mar
2008.04.08,08-Apr-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Body boarding,16,Y,M,Apr
2008.03.28.b,28-Mar-2008,2008,Unprovoked,USA,Florida,Surfing,52,N,M,Mar
2008.03.21,21-Mar-2008,2008,Unprovoked,USA,Florida,Wading,14,N,M,Mar
2008.03.07,07-Mar-2008,2008,Unprovoked,USA,California,Surfing,27,N,M,Mar
2008.02.24,24-Feb-2008,2008,Unprovoked,BAHAMAS,Northern Bahamas,Diving,49,Y,M,Feb
2008.02.21.R,Reported 21-Feb-2008,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Spearfishing,26,N,M,Feb
2008.02.15,15-Feb-2008,2008,Unprovoked,USA,Florida,Surfing,25,N,M,Feb
2008.02.07,07-Feb-2008,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,14,N,F,Feb
2008.01.29,29-Jan-2008,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf-skiing,42,N,M,Jan
2008.01.10,10-Jan-2008,2008,Unprovoked,USA,Florida,Surfing,20,N,M,Jan
2007.12.21,21-Dec-2007,2007,Unprovoked,ECUADOR,Galapagos Islands,Surfing,24,N,M,Dec
2007.12.18,18-Dec-2007,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,31,N,M,Dec
2007.12.10,10-Dec-2007,2007,Unprovoked,USA,Hawaii,Surfing,52,N,M,Dec
2007.11.18,18-Nov-2007,2007,Provoked,AUSTRALIA,Western Australia,Fishing,32,N,M,Nov
2007.11.07,07-Nov-2007,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,14,N,M,Nov
2007.11.06,06-Nov-2007,2007,Unprovoked,USA,Florida,Surfing,21,N,M,Nov
2007.11.04,04-Nov-2007,2007,Unprovoked,USA,Florida,Surfing,42,N,M,Nov
2007.11.03,03-Nov-2007,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,37,N,M,Nov
2007.10.29,29-Oct-2007,2007,Unprovoked,USA,Hawaii,Floating,32,N,M,Oct
2007.10.15,15-Oct-2007,2007,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,52,N,F,Oct
2007.10.13,13-Oct-2007,2007,Unprovoked,AUSTRALIA,Queensland,Spearfishing,31,N,M,Oct
2007.10.07,07-Oct-2007,2007,Unprovoked,USA,California,Surfing,22,N,M,Oct
2007.10.06,06-Oct-2007,2007,Unprovoked,USA,Florida,Surfing,16,N,M,Oct
2007.09.30.a,30-Sep-2007,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,Swimming,23,Y,F,Sep
2007.09.28,28-Sep-2007,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,48,N,F,Sep
2007.09.20,20-Sep-2007,2007,Unprovoked,USA,Florida,Surfing,23,N,M,Sep
2007.09.13,13-Sep-2007,2007,Unprovoked,USA,Florida,Snorkeling,14,N,M,Sep
2007.09.08,08-Sep-2007,2007,Unprovoked,USA,Florida,Wading,58,N,F,Sep
2007.09.05,05-Sep-2007,2007,Unprovoked,USA,Florida,Wading,36,N,F,Sep
2007.09.04,04-Sep-2007,2007,Unprovoked,USA,South Carolina,Standing,15,N,M,Sep
2007.09.03.a,03-Sep-2007,2007,Unprovoked,USA,Florida,Swimming,58,N,M,Sep
2007.08.28.b,28-Aug-2007,2007,Unprovoked,USA,Hawaii,Body boarding,15,N,M,Aug
2007.08.28.a,28-Aug-2007,2007,Unprovoked,USA,California,Surfing,24,N,M,Aug
2007.08.26,26-Aug-2007,2007,Unprovoked,USA,Florida,Surfing,54,N,M,Aug
2007.08.25,25-Aug-2007,2007,Unprovoked,USA,Florida,Surfing,27,N,M,Aug
2007.08.19.c,19-Aug-2007,2007,Unprovoked,USA,Florida,Swimming,52,N,M,Aug
2007.08.19.b,19-Aug-2007,2007,Unprovoked,USA,Florida,Surfing,16,N,M,Aug
2007.08.12,12-Aug-2007,2007,Unprovoked,USA,Florida,Swimming,15,N,F,Aug
2007.08.09.b,09-Aug-2007,2007,Unprovoked,USA,South Carolina,Swimming,30,N,M,Aug
2007.07.29,29-Jul-2007,2007,Unprovoked,USA,Florida,Surfing,51,N,M,Jul
2007.07.28,28-Jul-2007,2007,Unprovoked,USA,California,Surfing,20,N,M,Jul
2007.07.19.b,19-Jul-2007.b,2007,Unprovoked,USA,Hawaii,Snorkeling,36,N,M,Jul
2007.07.19.a,19-Jul-2007.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Wading,15,N,M,Jul
2007.07.18.b,18-Jul-2007,2007,Unprovoked,USA,North Carolina,Swimming,14,N,M,Jul
2007.07.18.a,18-Jul-2007,2007,Provoked,NORWAY,Oslo Fjord,Scuba diving,48,N,M,Jul
2007.07.17.a,17-Jul-2007,2007,Unprovoked,USA,North Carolina,Wading,30,N,F,Jul
2007.07.10,10-Jul-2007,2007,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,48,N,F,Jul
2007.07.05,05-Jul-2007,2007,Unprovoked,USA,Florida,Surfing,18,N,M,Jul
2007.07.04,04-Jul-2007,2007,Unprovoked,REUNION,unknown,Body boarding,17,N,M,Jul
2007.06.25,25-Jun-2007,2007,Unprovoked,USA,Florida,Surfing,20,N,M,Jun
2007.05.17.R,Reported 17-May-2007,2007,Provoked,ENGLAND,Kent,Fishing,38,N,M,May
2007.05.16,16-May-2007,2007,Unprovoked,AUSTRALIA,Western Australia,Wading,38,N,F,May
2007.05.12,12-May-2007,2007,Unprovoked,AUSTRALIA,Victoria,Surfing,19,N,M,May
2007.05.10,10-May-2007,2007,Unprovoked,USA,Florida,Surfing,21,N,F,May
2007.05.07.b,07-May-2007,2007,Unprovoked,USA,Hawaii,Snorkeling,63,N,F,May
2007.05.07.a,07-May-2007,2007,Unprovoked,USA,Florida,Swimming,68,N,M,May
2007.04.22,22-Apr-2007,2007,Unprovoked,USA,Florida,Body boarding,12,N,M,Apr
2007.04.20,20-Apr-2007,2007,Unprovoked,USA,Florida,Surfing,24,N,M,Apr
2007.04.09,09-Apr-2007,2007,Unprovoked,NEW CALEDONIA,South Province,Surfing,26,N,M,Apr
2007.03.31.b,31-Mar-2007,2007,Unprovoked,USA,Florida,Surfing,27,N,M,Mar
2007.03.21,21-Mar-2007,2007,Unprovoked,USA,Florida,Surfing,11,N,M,Mar
2007.03.20,20-Mar-2007,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,42,N,F,Mar
2007.03.12,12-Mar-2007,2007,Unprovoked,AUSTRALIA,Queensland,Swimming,59,N,F,Mar
2007.03.11,11-Mar-2007,2007,Unprovoked,USA,Florida,Surfing,29,N,M,Mar
2007.03.05.R,Reported 05-Mar-2007,2007,Provoked,NEW ZEALAND,Cook islans,Spearfishing,16,N,M,Mar
2007.02.03,03-Feb-2007,2007,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,26,N,M,Feb
2007.01.23,23-Jan-2007,2007,Unprovoked,AUSTRALIA,New South Wales,Diving,41,N,M,Jan
2007.01.05,01-Jan-2007,2007,Unprovoked,USA,Hawaii,Surfing,24,N,M,Jan
2006.12.18,18-Dec-2006,2006,Unprovoked,AUSTRALIA,Victoria,Surfing,25,N,M,Dec
2006.12.11,11-Dec-2006,2006,Unprovoked,NEW ZEALAND,North Island,Surfing,10,N,M,Dec
2006.12.10,10-Dec-2006,2006,Unprovoked,USA,California,Surfing,43,N,M,Dec
2006.12.06,06-Dec-2006,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,25,N,M,Dec
2006.12.02,02-Dec-2006,2006,Unprovoked,AUSTRALIA,Western Australia,Body boarding,15,N,M,Dec
2006.11.11,11-Nov-2006,2006,Unprovoked,USA,Hawaii,Swimming,29,N,M,Nov
2006.10.31,31-Oct-2006,2006,Unprovoked,USA,Oregon,Surfing,22,N,M,Oct
2006.10.16,16-Oct-2006,2006,Unprovoked,USA,Florida,Fishing,15,N,M,Oct
2006.10.10,10-Oct-2006,2006,Unprovoked,USA,Florida,Surfing,20,N,M,Oct
2006.09.29,29-Sep-2006,2006,Unprovoked,USA,Florida,Surfing,19,N,M,Sep
2006.09.16,16-Sep-2006,2006,Unprovoked,USA,North Carolina,Surfing,16,N,M,Sep
2006.09.14,14-Sep-2006,2006,Unprovoked,USA,Florida,Swimming,55,N,M,Sep
2006.09.11,11-Sep-2006,2006,Unprovoked,USA,Florida,Surfing,52,N,M,Sep
2006.09.03.a,03-Sep-2006,2006,Unprovoked,USA,Florida,Standing,33,N,M,Sep
2006.09.02,02-Sep-2006,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,37,N,M,Sep
2006.08.29.b,29-Aug-2006,2006,Unprovoked,USA,Oregon,Surfing,23,N,M,Aug
2006.08.27,27-Aug-2006,2006,Unprovoked,REUNION,Saint-Gilles-les-Bains,Body boarding,27,N,M,Aug
2006.08.20.a,20-Aug-2006,2006,Unprovoked,REUNION,Saint-Pierre,Surfing,34,Y,M,Aug
